게임 이름	게임 Id	소스			
State of Decay: Year-One Survival Edition	329430	Steam	17시간 15분	23시간 37분	69시간 9분
STEINS;GATE	412830	Steam	데이터 없음		
Stellar Blade	3489700	Steam	22시간 39분	37시간 30분	57시간 21분
Still Life 2	46490	Steam	10시간 24분	10시간 31분	13시간 55분
Stories: The Path of Destinies	439190	Steam	5시간 12분	7시간 25분	20시간 10분
Street Fighter 6	1364780	Steam	17시간 23분	34시간 18분	73시간 14분
Street Fighter V	310950	Steam	3시간 20분	24시간 4분	128시간 19분
Styx: Master of Shadows	242640	Steam	17시간 1분	22시간 17분	41시간 22분
Subnautica	Jaguar	Epic	29시간 34분	41시간 52분	52시간 1분
Super Star	503300	Steam	3시간 22분	5시간 0분	7시간 46분
SuperHot	Dory	Epic	2시간 23분	5시간 8분	19시간 55분
System Shock 2	238210	Steam	데이터 없음		
Tabletop Simulator	286160	Steam	9시간 51분	147시간 56분	1224시간 36분
Tales of Berseria	429660	Steam	44시간 13분	67시간 26분	153시간 39분
Tales of Maj'Eyal	259680	Steam	57시간 50분	99시간 25분	378시간 11분
The Awesome Adventures of Captain Spirit	845070	Steam	1시간 37분	1시간 58분	2시간 9분
The Banner Saga	237990	Steam	10시간 42분	13시간 51분	30시간 16분
The Bard's Tale: Remastered and Resnarkled	41900	Steam	14시간 14분	19시간 0분	28시간 18분
The Binding of Isaac	113200	Steam	10시간 52분	50시간 6분	141시간 1분
The Blackwell Convergence	80350	Steam	2시간 58분	3시간 27분	4시간 13분
The Blackwell Deception	80360	Steam	4시간 29분	5시간 4분	6시간 6분
The Blackwell Epiphany	236930	Steam	6시간 33분	7시간 38분	11시간 13분
The Blackwell Legacy	80330	Steam	2시간 53분	3시간 18분	4시간 32분
The Darkness II	67370	Steam	6시간 2분	8시간 14분	15시간 14분
The Deed	420740	Steam	31 분	1시간 17분	2시간 24분
The Elder Scrolls V: Skyrim	72850	Steam	34시간 45분	109시간 42분	237시간 11분
The Elder Scrolls V: Skyrim - Special Edition	489830	Steam	26시간 0분	111시간 6분	202시간 56분
The Eternal Castle: Remastered	963450	Steam	2시간 40분	3시간 28분	6시간 17분
The First Descendant	2074920	Steam	35시간 54분	64시간 13분	98시간 29분
The Flame in the Flood	318600	Steam	8시간 39분	13시간 34분	49시간 54분
The Guild 2	39650	Steam	12시간 30분	29시간 0분	48시간 48분
The Guild 2: Pirates of the European Seas	39660	Steam	11시간 0분	15시간 0분	--
The Guild 2: Renaissance	39680	Steam	7시간 56분	130시간 10분	--
The Guild: Gold Edition	39520	Steam	44시간 13분	65시간 40분	76시간 14분
The Outer Worlds	Rosemallow	Epic	13시간 20분	26시간 38분	40시간 40분
The Outer Worlds: Spacer's Choice Edition	cb3bf7ba89574a66ae3b795e039d4dbc	Epic	17시간 38분	37시간 16분	60시간 47분
The Red Strings Club	589780	Steam	4시간 0분	4시간 34분	6시간 59분
The Secret of Monkey Island: Special Edition	32360	Steam	6시간 39분	7시간 18분	7시간 37분
The Sims 4	1222670	Steam	22시간 40분	104시간 22분	278시간 51분
The Stanley Parable	221910	Steam	1시간 27분	2시간 54분	9시간 5분
The Stanley Parable	247750	Steam	1시간 27분	2시간 54분	9시간 5분
